,antecedants,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
164,frozenset({'Newspaper (General)           '}),frozenset({'LEVY BAG(General)             '}),0.25634654702407994,0.0036915038618809634,0.0014529380584582766,0.005667866703590881,1.5353814910281265,0.0005066337901390355,1.0019876284548481
165,frozenset({'LEVY BAG(General)             '}),frozenset({'Newspaper (General)           '}),0.0036915038618809634,0.25634654702407994,0.0014529380584582766,0.3935897435897436,1.5353814910281265,0.0005066337901390355,1.22632070469602
166,frozenset({'Potato                        '}),frozenset({'LEVY BAG(General)             '}),0.01080474784189005,0.0036915038618809634,0.0003644176889292746,0.0337275514673675,9.13653424980626,0.00032453192054428747,1.0310844499924414
167,frozenset({'LEVY BAG(General)             '}),frozenset({'Potato                        '}),0.0036915038618809634,0.01080474784189005,0.0003644176889292746,0.09871794871794871,9.136534249806259,0.00032453192054428747,1.0975423850402928
168,frozenset({'LOAF                          '}),frozenset({'ORIENTAL BUN                  '}),0.010359874299560807,0.04669752385279419,0.001235233984552476,0.11923252626770213,2.5532944025803577,0.0007514535073367859,1.0823543155011583
169,frozenset({'ORIENTAL BUN                  '}),frozenset({'LOAF                          '}),0.04669752385279419,0.010359874299560807,0.001235233984552476,0.02645180906050471,2.5532944025803577,0.0007514535073367859,1.016529160970876
170,frozenset({'Large                         '}),frozenset({'Potato                        '}),0.00728362108132667,0.01080474784189005,0.0002886945327881266,0.0396361273554256,3.66839910893211,0.00020999684362851736,1.0300213078967058
171,frozenset({'Potato                        '}),frozenset({'Large                         '}),0.01080474784189005,0.00728362108132667,0.0002886945327881266,0.026719229084537884,3.6683991089321095,0.00020999684362851736,1.019969168798979
172,frozenset({'Large                         '}),frozenset({'Poultry & Others              '}),0.00728362108132667,0.0029532030895047705,0.00022243677116462213,0.030539311241065625,10.341080621782377,0.00020092675888446613,1.0284551075370323
173,frozenset({'Poultry & Others              '}),frozenset({'Large                         '}),0.0029532030895047705,0.00728362108132667,0.00022243677116462213,0.07532051282051282,10.341080621782375,0.00020092675888446613,1.0735788915862257
174,frozenset({'Large                         '}),frozenset({'Tetra Pack                    '}),0.00728362108132667,0.02496971073754354,0.00022243677116462213,0.030539311241065625,1.223054266109212,4.0566859642021105e-05,1.0057450503853356
175,frozenset({'Tetra Pack                    '}),frozenset({'Large                         '}),0.02496971073754354,0.00728362108132667,0.00022243677116462213,0.008908263836239575,1.223054266109212,4.0566859642021105e-05,1.001639245587095
176,frozenset({'MINI RANGE                    '}),frozenset({'ORIENTAL BUN                  '}),0.0035163940633045586,0.04669752385279419,0.001258897470846585,0.35800807537012114,7.666532309050888,0.0010946905751995964,1.4849135005814966
177,frozenset({'ORIENTAL BUN                  '}),frozenset({'MINI RANGE                    '}),0.04669752385279419,0.0035163940633045586,0.001258897470846585,0.026958548697679132,7.666532309050888,0.0010946905751995964,1.02409163001535
178,frozenset({'MINI RANGE                    '}),frozenset({'Tetra Pack                    '}),0.0035163940633045586,0.02496971073754354,0.00023190216568226563,0.06594885598923284,2.6411541840600723,0.00014409882308233542,1.0438724854783936
179,frozenset({'Tetra Pack                    '}),frozenset({'MINI RANGE                    '}),0.02496971073754354,0.0035163940633045586,0.00023190216568226563,0.009287338893100834,2.6411541840600723,0.00014409882308233542,1.0058250439873744
180,frozenset({'Misc (General)                '}),frozenset({'Menthol Lights KS             '}),0.007884673633197031,0.02876060124185976,0.0008471528093290929,0.10744297719087637,3.7357695093834806,0.0006203848550425074,1.0881538926234442
